date,tmax,tmin,tavg,prcp,wspd,humidity,pressure,dew_point,cloud_cover,city,region,latitude,longitude,elevation
2000-01-01,17.2,3.1,9.4,0.0,6.0,76.0,1018.9,4.8,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-02,17.4,2.9,9.3,0.0,6.1,77.0,1018.6,4.8,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-03,17.7,3.1,9.6,0.0,6.2,76.0,1016.8,5.0,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-04,17.6,3.4,9.6,0.0,5.9,75.0,1016.2,4.8,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-05,17.5,3.2,9.6,0.0,8.0,77.0,1017.5,5.3,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-06,18.1,3.3,9.9,0.0,8.8,74.0,1016.3,4.8,25.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-07,16.8,3.4,10.1,0.0,6.5,73.0,1015.5,5.0,70.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-08,17.6,5.8,11.3,0.0,6.8,75.0,1014.5,6.4,38.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-09,16.8,5.1,10.5,0.6,9.9,73.0,1013.4,5.5,16.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-10,17.2,5.8,11.0,0.5,10.0,68.0,1014.5,4.8,35.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-11,12.0,8.7,9.9,12.4,15.7,84.0,1016.6,7.3,99.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-12,10.2,7.5,8.9,40.6,13.7,88.0,1011.4,7.0,98.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-13,11.4,5.4,8.1,14.2,14.7,91.0,1012.0,6.8,87.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-14,10.7,2.9,6.9,13.2,20.0,81.0,1013.5,3.7,51.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-15,10.7,1.3,5.3,0.1,7.8,81.0,1017.4,2.0,29.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-16,12.9,0.4,6.0,0.0,10.4,68.0,1021.4,-0.1,1.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-17,14.4,1.7,7.3,0.0,11.9,48.0,1020.8,-3.4,62.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-18,16.3,3.6,9.4,0.0,8.9,59.0,1019.5,1.6,94.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-19,16.8,6.1,10.9,0.0,13.8,65.0,1015.3,4.2,15.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-20,16.4,3.0,9.1,0.0,12.4,69.0,1011.2,3.1,22.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-21,16.9,0.7,8.6,0.2,8.1,68.0,1012.6,2.1,29.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-22,16.4,6.3,10.8,0.0,8.4,65.0,1016.3,3.9,75.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-23,16.1,3.2,9.3,0.0,11.3,64.0,1016.8,2.0,2.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-24,15.8,2.1,8.6,0.0,10.8,68.0,1017.7,2.2,32.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-25,11.5,7.1,9.0,9.1,13.7,81.0,1019.6,5.7,99.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-26,13.6,6.3,9.5,2.0,7.1,83.0,1021.7,6.6,67.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-27,15.7,3.9,9.2,0.0,9.2,71.0,1020.6,3.5,5.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-28,16.3,2.5,8.8,0.0,14.1,58.0,1019.9,0.3,7.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-29,17.7,1.7,9.0,0.0,13.0,59.0,1016.9,0.6,25.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-30,19.7,4.0,11.0,0.0,8.5,65.0,1014.5,3.9,13.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-01-31,17.1,7.8,11.4,6.6,20.0,76.0,1012.4,7.1,64.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-01,10.6,7.3,9.2,33.1,12.1,88.0,1010.5,7.4,99.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-02,14.5,6.8,10.2,0.4,7.9,76.0,1016.7,5.6,85.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-03,16.5,4.7,10.1,0.0,9.4,64.0,1018.5,3.2,47.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-04,14.8,6.8,10.4,0.6,11.8,61.0,1013.7,2.9,98.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-05,15.4,5.0,9.7,0.0,11.0,72.0,1011.1,4.5,57.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-06,15.7,3.1,9.3,0.0,9.4,75.0,1016.2,4.7,11.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-07,16.4,3.1,9.4,0.0,8.7,69.0,1015.7,3.3,1.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-08,16.4,2.6,9.8,0.3,8.7,66.0,1014.2,3.0,42.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-09,11.7,5.7,8.9,9.3,11.6,77.0,1015.6,5.0,88.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-10,12.5,5.4,8.8,6.3,13.0,84.0,1013.3,6.2,76.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-11,13.4,2.1,7.3,0.0,7.6,72.0,1012.9,1.4,18.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-12,13.8,1.2,7.0,0.1,8.2,73.0,1017.1,1.7,6.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-13,15.6,1.5,7.9,0.0,11.0,66.0,1018.0,0.9,3.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-14,17.0,-0.1,8.3,0.0,11.2,59.0,1018.4,-0.2,13.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-15,16.4,3.4,9.7,0.0,12.2,61.0,1016.3,1.9,83.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-16,14.7,3.4,9.3,0.6,7.9,60.0,1014.6,1.3,35.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-17,15.0,2.7,8.6,0.0,9.2,61.0,1013.4,0.6,8.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-18,15.0,0.6,7.8,0.0,8.9,65.0,1014.7,0.6,4.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-19,15.7,1.8,8.4,0.0,8.4,62.0,1015.1,0.5,36.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-20,15.6,2.9,8.7,0.1,10.4,60.0,1014.5,0.3,79.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-21,15.1,0.9,8.3,0.0,9.8,67.0,1017.9,1.7,5.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-22,16.4,2.5,9.4,0.0,9.1,56.0,1018.4,0.2,8.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-23,16.5,3.5,9.4,0.1,9.0,55.0,1018.3,0.0,10.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-24,17.5,2.2,9.6,0.0,14.3,52.0,1017.4,-1.1,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-25,18.1,0.9,9.3,0.0,11.8,51.0,1013.7,-1.6,0.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-26,19.0,0.5,9.7,0.0,10.4,53.0,1012.2,-1.1,8.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-27,19.7,5.2,12.0,0.0,10.4,53.0,1013.3,1.6,46.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-28,21.5,5.1,13.2,0.0,11.7,50.0,1014.8,2.1,32.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-02-29,22.1,6.1,14.3,0.0,10.5,52.0,1012.4,3.6,7.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-01,21.0,7.1,13.7,0.3,10.0,53.0,1010.1,3.4,8.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-02,20.4,5.4,13.0,0.0,8.8,53.0,1010.1,2.5,10.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-03,21.1,7.8,14.0,0.0,10.8,51.0,1010.1,3.3,38.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-04,12.9,3.9,9.2,15.5,20.4,83.0,1007.6,6.3,71.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-05,16.5,3.6,9.6,0.0,10.8,71.0,1014.4,3.9,24.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-06,19.1,2.4,10.9,0.0,7.6,62.0,1011.1,2.7,9.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-07,19.2,4.5,12.1,0.0,8.2,61.0,1013.8,4.1,22.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-08,20.2,5.3,12.7,0.0,13.8,59.0,1014.0,3.7,1.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-09,21.1,5.0,12.8,0.0,13.4,54.0,1010.1,2.2,1.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-10,22.1,5.3,14.1,0.0,9.5,56.0,1008.2,3.9,48.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-11,22.0,9.8,15.1,0.8,11.9,49.0,1007.2,4.1,35.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-12,21.5,9.9,14.9,0.8,12.8,53.0,1006.8,4.8,21.0,Islamabad,Punjab,33.6844,73.0479,540.0
2000-03-13,21.1,6.8,14.1,0.0,7.5,59.0,1008.7,5.0,6.0,Islamabad,Punjab,33.6844,73.0479,540.0
